Starting Location,Ending Location,Distance
Waterloo,Ozark,803.2771624493165
Ankeny,Omaha,125.48264303944242
Ankeny,Lincoln,173.4962946699534
Ankeny,Grand Island,252.81328182965
Ankeny,Kearney,294.3321352116407
Ankeny,Columbus,195.88911661984767
Ankeny,Bellevue,126.83287343485452
Ankeny,Papillion,132.9569181199006
Ankeny,Plattsmouth,128.56504113345432
Ankeny,Des Moines,10.089613799396624
Ankeny,Iowa City,106.96016360562503
Ankeny,Cedar Rapids,101.24857607280777
Ankeny,Davenport,157.15517863226142
Ankeny,Sioux City,153.48098190685008
Ankeny,Waterloo,676.9070208668334
Ankeny,Ames,20.700951627791053
Ankeny,Council Bluffs,121.6915101242439
Ankeny,Dubuque,159.87161337720977
Ankeny,Urbandale,10.90795497597819
Ankeny,Sioux Falls,202.8183428041504
Ankeny,Pierre,387.111871067909
Ankeny,Rapid City,514.5331676830294
Ankeny,Deadwood,543.8669708588853
Ankeny,Aberdeen,355.55994202532116
Ankeny,Brookings,240.6889769625701
Ankeny,Watertown,281.382518065436
Ankeny,Yankton,209.82385064307812
Ankeny,Wichita,342.5049491891502
Ankeny,Overland Park,197.95090822661294
Ankeny,Olathe,206.9363878992659
Ankeny,Topeka,215.1439867747145
Ankeny,Lawrence,209.07905143923185
Ankeny,Shawnee,195.95393485577182
Ankeny,Lenexa,200.8081641560159
Ankeny,Manhattan,235.4322719934568
